"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 24-Feb-2022","30 D % CHNG 
 25-Jan-2023",PE RATIO,EPS,MCAP,PB RATIO,DIV YIELD,FACE VALUE,DATE
SUNPHARMA,951,966.05,951,956.6,959.95,3.35,0.35,1862513,"1,78,97,07,366.83","1,072.15",789.9,13.35,-8.32,32.7,35.16,"2,75,587.00",4.65,1,1,25-02-2022
TATACONSUM,712.95,716.9,709.55,715.3,716.9,1.6,0.22,991540,"70,79,49,644.60",861.15,650.2,-0.46,-2.71,63.18,13.62,"79,309.72",4.6,0.98,1,26-02-2022
TATAMOTORS,421.5,428,421.5,420.7,426.1,5.4,1.28,7595114,"3,23,35,43,834.36",494.4,366.2,-7.35,-5.59,19.01,31.98,"2,06,065.00",3.83,0.33,2,24-02-2022
TATASTEEL,104.7,107.1,104.5,103.95,105.7,1.75,1.68,76175319,"8,04,18,28,426.83",138.67,82.7,-91.48,-13.84,89.26,1.33,"1,45,314.00",1.37,3.03,1,26-02-2022
TCS,"3,323.00","3,389.00","3,315.00","3,312.85","3,386.45",73.6,2.22,1669307,"5,62,14,58,094.78","3,835.60","2,926.10",-6.79,-2.88,28.95,119.55,"12,63,671.00",13.92,3.32,1,25-02-2022
TECHM,"1,100.25","1,129.00","1,097.00","1,100.25","1,126.50",26.25,2.39,2084324,"2,33,58,60,220.32","1,574.95",943.7,-21.97,6.81,27.44,45.06,"1,20,136.00",4.14,4.04,5,24-02-2022
TITAN,"2,370.00","2,396.05","2,366.35","2,372.80","2,383.50",10.7,0.45,479935,"1,14,41,89,036.75","2,791.00","1,825.05",-6.82,1.78,80.94,36.25,"2,60,418.00",21.79,0.34,1,24-02-2022
ULTRACEMCO,"7,227.00","7,344.00","7,220.00","7,261.30","7,270.35",9.05,0.12,317216,"2,31,04,99,834.88","7,492.00","5,157.05",10.56,8.13,45.25,179.03,"2,33,810.00",4.33,0.47,10,26-02-2022
UPL,699.2,714.45,694.55,694.2,713.55,19.35,2.79,1835234,"1,29,60,60,603.14",848,607.5,4.32,-6.78,16.18,38.09,"46,169.88",1.28,1.62,2,24-02-2022
WIPRO,388.1,391.75,387.3,387.05,391.6,4.55,1.18,2271306,"88,57,18,487.76",616,372.4,-30.36,-2.76,18.68,22.33,"2,17,117.00",2.8,0.24,2,24-02-2022
